datetime,open,high,low,close,volume,dec,RD,GS,uptail,downtail,open1,high1,low1,close1,volume1,dec1,RD1,uptail1,downtail1,GS1,open2,high2,low2,close2,volume2,dec2,RD2,uptail2,downtail2,GS2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-21 03:00:00,1793.54,1808.75,1787.67,1800.6,136613.47,21.08,7.06,0.000154303964,8.15,5.87,1772.01,1800,1771.9,1793.54,181351.705,28.1,21.53,6.46,0.11,0.000154947537,1768.5,1777.81,1752.35,1772.01,163952.825,25.46,3.51,5.8,16.15,0.000155288572
2021-07-21 04:00:00,1800.61,1871.6,1799.75,1860.33,512581.951,71.85,59.72,0.000140172708,11.27,0.86,1793.54,1808.75,1787.67,1800.6,136613.47,21.08,7.06,8.15,5.87,0.000154303964,1772.01,1800,1771.9,1793.54,181351.705,28.1,21.53,6.46,0.11,0.000154947537
2021-07-21 05:00:00,1860.2,1867.58,1850.84,1854.8,152381.258,16.74,-5.4,0.00010985603,7.38,3.96,1800.61,1871.6,1799.75,1860.33,512581.951,71.85,59.72,11.27,0.86,0.000140172708,1793.54,1808.75,1787.67,1800.6,136613.47,21.08,7.06,8.15,5.87,0.000154303964
2021-07-21 06:00:00,1854.8,1877.92,1854.8,1875.8,167261.154,23.12,21,0.000138226955,2.12,0,1860.2,1867.58,1850.84,1854.8,152381.258,16.74,-5.4,7.38,3.96,0.00010985603,1800.61,1871.6,1799.75,1860.33,512581.951,71.85,59.72,11.27,0.86,0.000140172708
2021-07-21 07:00:00,1875.8,1880,1861,1874.1,141893.79,19,-1.7,0.000133902971,4.2,13.1,1854.8,1877.92,1854.8,1875.8,167261.154,23.12,21,2.12,0,0.000138226955,1860.2,1867.58,1850.84,1854.8,152381.258,16.74,-5.4,7.38,3.96,0.00010985603
2021-07-21 08:00:00,1874.09,1880.66,1859.9,1869.99,171329.428,20.76,-4.1,0.000121170077,6.57,10.09,1875.8,1880,1861,1874.1,141893.79,19,-1.7,4.2,13.1,0.000133902971,1854.8,1877.92,1854.8,1875.8,167261.154,23.12,21,2.12,0,0.000138226955
2021-07-21 09:00:00,1870,1895.64,1863.41,1891.12,192003.879,32.23,21.12,0.000167861192,4.52,6.59,1874.09,1880.66,1859.9,1869.99,171329.428,20.76,-4.1,6.57,10.09,0.000121170077,1875.8,1880,1861,1874.1,141893.79,19,-1.7,4.2,13.1,0.000133902971
2021-07-21 10:00:00,1891.12,1912.3,1886.12,1899.7,243534.502,26.18,8.58,0.000107500168,12.6,5,1870,1895.64,1863.41,1891.12,192003.879,32.23,21.12,4.52,6.59,0.000167861192,1874.09,1880.66,1859.9,1869.99,171329.428,20.76,-4.1,6.57,10.09,0.000121170077
2021-07-21 11:00:00,1899.7,1909.93,1892.89,1904.91,119632.393,17.04,5.21,0.000142436338,5.02,6.81,1891.12,1912.3,1886.12,1899.7,243534.502,26.18,8.58,12.6,5,0.000107500168,1870,1895.64,1863.41,1891.12,192003.879,32.23,21.12,4.52,6.59,0.000167861192
